"Region","Trait","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Coefficient_Interaction","Std.Error_Interaction","t.value_Interaction","p.value_Interaction","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c","p.adjusted.fdr_Interaction"
"downstream1","A_Rate",0.312860865897416,0.09732456451566,3.21461357114087,0.00139769682155598,-0.000793685362693789,0.000626746817523956,-1.26635722831325,0.206023329734089,0.000836241488759903,0.00131790929498661,0.634521276950551,0.526054758071326,0.000313207569364585,0.00051120052717738,0.612690231549597,0.540382641077836,0.998195764656153,466,0.00419309046466794,0.319683291542021,0.631265709685591,0.810573961616753
"downstream1","T_Rate",0.259283078151814,0.0937521941430573,2.76562143981581,0.00590900747826297,-0.000504936474225469,0.000547466146103142,-0.922315430496666,0.356845465325377,-0.00255082805777624,0.00116861357338937,-2.18278147358668,0.0295546460273202,-0.000524863882596163,0.000448480235959727,-1.17031663942331,0.242476902044216,0.998634346604286,466,0.0119270921744739,0.472765718733588,0.0886639380819605,0.806433537494098
"downstream1","G_Rate",0.230222587218373,0.0901178201428967,2.55468437711117,0.0109479741656336,0.000754427506642304,0.000478966524561152,1.57511531172985,0.11591432492024,0.000735282616500088,0.00103774676403183,0.708537614363053,0.478968804860613,-0.00018310821251485,0.000393802834783683,-0.46497433827624,0.642168904056969,0.99896115638296,466,0.0187679557125148,0.278194379808576,0.605013227192353,0.856225205409292
"downstream1","C_Rate",0.197582912875919,0.10154841403328,1.94570161195394,0.0522966690010126,0.000468582075853056,0.000642241921162398,0.729603690467551,0.466002207755653,0.000657847493628333,0.0013541832194495,0.485789134128955,0.627346988937548,0.00037210743891479,0.000524283035732299,0.709745335160509,0.478220126326334,0.998285459288872,466,0.059767621715443,0.532573951720746,0.658273158943835,0.806433537494098
"downstream2","A_Rate",0.313143333408506,0.0858743544146137,3.64652911271513,0.00029604322423782,-0.00141969204301213,0.000600283894387476,-2.36503437171302,0.0184407016589192,-0.00218165574536297,0.00124704137843097,-1.74946540114645,0.0808745749702662,0.00033541060371105,0.000487603744223571,0.687875365364834,0.49187647608363,0.997730717125806,466,0.00236834579390256,0.110644209953515,0.141972642666206,0.806433537494098
"downstream2","T_Rate",0.346264899403035,0.11750635494268,2.94677593881576,0.0033734630259223,-0.00147629067304022,0.000610080199497175,-2.41983049811643,0.0159127038251385,-0.00276217261180543,0.00132680528883449,-2.081822129479,0.0379085928844188,-0.000856107806491758,0.000502025234633837,-1.70530831406549,0.0888091285046034,0.999030378486794,466,0.00809631126221352,0.110644209953515,0.0909806229226052,0.806433537494098
"downstream2","G_Rate",0.180166292424396,0.11062581494319,1.62860985491421,0.104077303474592,0.00146096071877303,0.000578425570169771,2.52575403667619,0.011878296879637,0.00256274109336053,0.00125653420886751,2.03953149486497,0.0419654213846471,0.000225188449884497,0.000475857831913032,0.473226318413631,0.636275233220126,0.999009971834746,466,0.104077303474592,0.110644209953515,0.0915609193846846,0.856225205409292
"downstream2","C_Rate",0.160207100424786,0.0883374135212709,1.81358151703423,0.0703908555638333,0.0012207247338052,0.000557535237811698,2.18950238660518,0.029059835438943,0.00197316007054515,0.00117594587672696,1.67793442674172,0.0940361887493849,0.000321698202856011,0.000455177740376659,0.706752932579273,0.480076321897619,0.998295457357342,466,0.0734513275448695,0.116239341755772,0.141972642666206,0.806433537494098
"exon","A_Rate",0.301817801166683,0.0998239634167601,3.02350047860361,0.00263772718953369,-0.000626287899811907,0.000562450175529675,-1.11349934102539,0.266073015895089,0.000580871558031627,0.00120735703348802,0.481110012962367,0.630666083594309,0.000308552142669344,0.000461421008618775,0.668699814065616,0.504020960933811,0.998768261926861,466,0.00703393917208984,0.375632493028361,0.658273158943835,0.806433537494098
"exon","T_Rate",0.25824701037282,0.0953000990948129,2.70982940023907,0.00698213500977994,-0.000499930365741395,0.00056212418961425,-0.889359282126723,0.37427286066409,-0.00303341228906187,0.00119802482308079,-2.53201121597905,0.011671322936204,-0.000317746188216928,0.000460295056263763,-0.690309799970673,0.490346019788949,0.998594361982496,466,0.0128900954026707,0.472765718733588,0.0560223500937792,0.806433537494098
"exon","G_Rate",0.234299026048263,0.0848118791978631,2.76257321809427,0.00596354608723693,0.000803042892683517,0.000462099369413159,1.73781430107411,0.0829098684636735,0.00188255154276586,0.000997236457236653,1.8877684716646,0.05968348198174,-0.000102829468664262,0.000379585634658248,-0.270899262973537,0.786589499774939,0.998882798172671,466,0.0119270921744739,0.221092982569796,0.11936696396348,0.971463299903155
"exon","C_Rate",0.205654743895565,0.10832286055443,1.89853501692035,0.0582484844822593,0.000322109818193241,0.000634247911335865,0.507861062584829,0.61179315541898,0.000650740685904377,0.00135329095587375,0.480857928651587,0.630845110654509,0.000103684227748927,0.000519513478231181,0.199579475978076,0.841897291144819,0.998623791838175,466,0.0635438012533738,0.61179315541898,0.658273158943835,0.971463299903155
"intron","A_Rate",0.30647857590538,0.0895255753531468,3.42336337629142,0.000673586801150471,-0.000625810307743748,0.000501954752916015,-1.24674645295859,0.213122194361347,-0.0023020625971537,0.00107833331941055,-2.13483396619153,0.0333001320121772,-7.63724466994723e-06,0.00041187135577125,-0.0185427914880026,0.985213845913666,0.998785669966051,466,0.00269434720460188,0.319683291542021,0.0888003520324724,0.985213845913666
"intron","T_Rate",0.329682836999,0.077976205956055,4.22799279545352,2.84323710980168e-05,-0.000373065935457223,0.000698983544408775,-0.533726349413241,0.593787564545119,-0.00874689594905649,0.00140372391239706,-6.23120819685969,1.04325873184091e-09,-0.00146529060384327,0.000559216414670082,-2.62025678324864,0.00907571081395929,0.995542830802904,466,0.000682376906352404,0.61179315541898,2.50382095641819e-08,0.217817059535023
"intron","G_Rate",0.185129120862693,0.0881828652556895,2.09937747345705,0.0363255813510736,0.000697109579324905,0.000516866240165371,1.34872337396589,0.178086562724619,0.0059180928463841,0.00110265417638442,5.36713411433257,1.26849935742495e-07,0.000358352104350034,0.00042334750775996,0.846472691539313,0.397727331962066,0.998619642025721,466,0.0484341084680982,0.310008252570161,1.52219922890994e-06,0.806433537494098
"intron","C_Rate",0.179169351265264,0.0843730898709046,2.12353668141588,0.0342397329974677,0.000374285952477802,0.000585394170117329,0.639374239758461,0.522896390639212,0.00606498830726444,0.00121743294972786,4.98178426057895,8.91862228010708e-07,0.000760670123792359,0.000475696509164675,1.59906602032481,0.110489555078242,0.997777354876505,466,0.0483384465846603,0.570432426151867,7.13489782408566e-06,0.806433537494098
"upstream1","A_Rate",0.312032348268711,0.0898334055212691,3.47345563109966,0.000562185470073399,-0.000749869037045717,0.000532935001988025,-1.40705533366819,0.160083343990043,-0.0019174314351262,0.00113480049187288,-1.68966390908208,0.0917668994387036,0.000309469231591541,0.000436287665471735,0.709323815645644,0.478481357682023,0.998570989675104,466,0.00269434720460188,0.310008252570161,0.141972642666206,0.806433537494098
"upstream1","T_Rate",0.330666247553335,0.0891156956683619,3.71052759082853,0.000232017655792464,-0.0010977092505306,0.000558871266783108,-1.96415402933321,0.0501113269816926,-0.00278529770198874,0.00117990707274801,-2.36060768370662,0.0186595419818343,-0.000625597336658043,0.000456402359469632,-1.37071451029531,0.171129521973761,0.998325962957282,466,0.00236834579390256,0.171810263937232,0.063975572509146,0.806433537494098
"upstream1","G_Rate",0.181269104046659,0.0905917217800193,2.0009455663822,0.0459827856206822,0.00101293675917659,0.000461516837359236,2.19479914313103,0.0286749307643038,0.00295048576871966,0.00100678178251984,2.93061100225212,0.00355061164729137,-3.14559209167622e-05,0.000380026395640189,-0.0827729896597625,0.934067896273595,0.999083247798311,466,0.0580835186787564,0.116239341755772,0.0213036698837482,0.974679543937664
"upstream1","C_Rate",0.176015795613283,0.0811978559644516,2.16773944979954,0.0306884855041984,0.000812927792254494,0.000606570741764524,1.34020277649673,0.180838147332594,0.00209050055750485,0.00124820240500671,1.67480894854838,0.0946484284441376,0.000436942665742194,0.000490907675642788,0.890070959208505,0.373891029697303,0.997274679343061,466,0.0460327282562976,0.310008252570161,0.141972642666206,0.806433537494098
"upstream2","A_Rate",0.304992168587183,0.0944514645910861,3.22908882257784,0.00133033235185934,-0.000853663401100834,0.000563900201393205,-1.51385546412596,0.130746289277262,-0.00117712365054888,0.00119955387801104,-0.98130119215708,0.326957823872192,0.000576874441028154,0.000461512685514983,1.24996443030476,0.211945331145054,0.998544769231809,466,0.00419309046466794,0.285264631150389,0.435943765162922,0.806433537494098
"upstream2","T_Rate",0.303724897888174,0.0877879786058716,3.45975499961973,0.000590809591010696,-0.00111706603166297,0.000587667138637917,-1.90084821528745,0.0579439571459474,-0.00146843909813407,0.00122860422012855,-1.19520922529504,0.232618451519077,-0.000618427974085372,0.000478420596712052,-1.29264496205958,0.196779972729833,0.997988442366311,466,0.00269434720460188,0.173831871437842,0.328402519791638,0.806433537494098
"upstream2","G_Rate",0.206911935392022,0.085032083512329,2.43333959189676,0.0153385274306018,0.00146754160931465,0.000463518208020138,3.16609268831763,0.0016471976637136,0.00244943335005404,0.00100022306298668,2.4488870939848,0.014700425212067,-6.85102825378616e-05,0.000380744345431401,-0.179937754453677,0.857280329820762,0.998881255087922,466,0.0245416438889629,0.0395327439291264,0.058801700848268,0.971463299903155
"upstream2","C_Rate",0.184426450224602,0.094135569340654,1.95915796246164,0.0506952977415368,0.00045315314484624,0.00057793595433122,0.784088862183047,0.433389784196066,0.000361352553492226,0.00122412663570874,0.295192133682322,0.767979721922786,6.50704732802288e-05,0.00047242438797516,0.13773732884351,0.890508024911225,0.998424007210677,466,0.059767621715443,0.52006774103528,0.767979721922786,0.971463299903155
